,date,tv,fb,context_0_center,context_100_center,bookings_noiseless,bookings_noisy,bookings_noisy_context
0,2015-01-01,3392,285051,0.7280711139076589,100.72807111390766,10820925.5,10572190.101570107,11154646.992696235
1,2015-01-02,2303,251996,0.032504296995841946,100.03250429699584,10586598.0,9444960.052347051,9470963.489943724
2,2015-01-03,7985,652251,0.9324515788428823,100.93245157884289,11923125.5,10902289.338841842,11648250.60191615
3,2015-01-04,2064,529800,-2.5379108188800266,97.46208918111998,10677700.0,10855056.399984853,8824727.744880833
4,2015-01-05,8499,592777,-0.8792672704245066,99.1207327295755,11996188.5,12016469.346941438,11313055.530601833
5,2015-01-06,8849,662382,1.1010814412216647,101.10108144122167,12100991.0,12700963.917919839,13581829.070897171
6,2015-01-07,5307,651445,0.926989429425549,100.92698942942555,11387122.5,11524942.801177472,12266534.34471791
7,2015-01-08,9070,690830,2.0823014498615207,102.08230144986152,12159415.0,11971995.285562765,13637836.445451982
8,2015-01-09,5534,726957,-0.4393147847811417,99.56068521521885,11470278.5,11541658.366296185,11190206.538471272
9,2015-01-10,6999,605271,-0.6665170398333274,99.33348296016668,11702435.5,10370774.238783274,9837560.606916612
10,2015-01-11,379,648200,0.12350566169619656,100.1235056616962,10399900.0,9610921.479995457,9709726.009352414
11,2015-01-12,9305,465251,-1.1231819304762913,98.87681806952371,12093625.5,12558829.692296395,11660284.147915361
12,2015-01-13,9583,252168,0.20492729440437607,100.20492729440437,12042684.0,11210367.613842065,11374309.449365566
13,2015-01-14,9035,690937,0.5357471013193068,100.5357471013193,12152468.5,12080231.90387533,12508829.584930776
14,2015-01-15,706,733308,0.5616063581801695,100.56160635818017,10507854.0,11234742.826802157,11684027.913346292
15,2015-01-16,132,540215,1.0141113546265768,101.01411135462658,10296507.5,9742914.577814898,10554203.66151616
16,2015-01-17,6948,328374,2.061515174145079,102.06151517414509,11553787.0,11770997.278410284,13420209.417726347
17,2015-01-18,9077,305943,0.13376563341669662,100.1337656334167,11968371.5,12347562.925698157,12454575.432431515
18,2015-01-19,7884,595416,0.0348587827918522,100.03485878279186,11874508.0,12043218.323532395,12071105.349765876
19,2015-01-20,5884,489695,-1.1922070997366898,98.80779290026331,11421647.5,12113812.698604133,11160047.018814782
20,2015-01-21,8224,509873,1.5553371290163545,101.55533712901635,11899736.5,11048990.303225957,12293260.006439041
21,2015-01-22,4810,598961,-0.19680754918031612,99.80319245081968,11261480.5,12436679.856276482,12279233.81693223
22,2015-01-23,8508,689386,1.0307405130263891,101.03074051302639,12046293.0,11473799.32428475,12298391.73470586
23,2015-01-24,4976,464450,-2.2452202074790333,97.75477979252096,11227425.0,10980788.619326422,9184612.453343196
24,2015-01-25,2121,362019,-0.15383642395472794,99.84616357604527,10605209.5,10170361.58182283,10047292.442659047
25,2015-01-26,4020,309573,-0.06592188450115202,99.93407811549885,10958786.5,11465187.201719448,11412449.694118526
26,2015-01-27,8132,598896,-0.6398627877736316,99.36013721222636,11925848.0,11164593.07430869,10652702.844089784
27,2015-01-28,5496,671827,-1.7544587304948431,98.24554126950515,11435113.5,12065958.49225625,10662391.507860376
28,2015-01-29,8327,559352,0.19683103903703655,100.19683103903704,11945076.0,12035209.300103378,12192674.131333007
29,2015-01-30,4925,476862,-1.3525095329516876,98.64749046704831,11223431.0,11849504.645802217,10767497.019440867
30,2015-01-31,8276,329394,-0.25832068405608494,99.74167931594391,11819897.0,11634467.267489605,11427810.720244737
31,2015-02-01,181,739542,-0.39178506609114777,99.60821493390885,10405971.0,11132048.061016848,10818620.00814393
32,2015-02-02,1952,699924,0.6741459945919606,100.67414599459197,10740362.0,11084834.33698641,11624151.132659977
33,2015-02-03,2539,714386,-1.1671541973176558,98.83284580268234,10864993.0,10091828.74120809,9158105.383353965
34,2015-02-04,4592,729892,-0.0073558248588051905,99.9926441751412,11283346.0,10058461.831839213,10052577.17195217
35,2015-02-05,4214,306794,-0.8326201054597635,99.16737989454023,10996197.0,10176530.736826394,9510434.652458582
36,2015-02-06,8885,480274,0.012905625298843955,100.01290562529884,12017137.0,10949868.096258637,10960192.596497713
37,2015-02-07,5653,345950,-1.0333579351955395,98.96664206480446,11303575.0,10677791.972785179,9851105.624628747
38,2015-02-08,232,316401,0.3564049475582919,100.35640494755829,10204600.5,9658875.240009831,9943999.198056465
39,2015-02-09,8010,404004,-1.0110479442337335,98.98895205576626,11804002.0,11442818.503950512,10633980.148563525
40,2015-02-10,3867,355061,-1.758484747443022,98.24151525255698,10950930.5,11348329.95473935,9941542.156784933
41,2015-02-11,2746,427934,0.6052323975944868,100.60523239759449,10763167.0,10077515.591773761,10561701.50984935
42,2015-02-12,8822,699515,0.8423494758400141,100.84234947584001,12114157.5,11865908.764135351,12539788.344807362
43,2015-02-13,7074,481475,-0.10455806966046288,99.89544193033954,11655537.5,11108722.680331973,11025076.224603603
44,2015-02-14,3178,695417,-0.9607223472821236,99.03927765271787,10983308.5,11142727.774372047,10374149.896546349
45,2015-02-15,52,558436,-0.8528593914614941,99.1471406085385,10289618.0,11122039.215584053,10439751.702414857
46,2015-02-16,1170,379470,-0.7332825177102608,99.26671748228974,10423735.0,10695353.047635328,10108727.03346712
47,2015-02-17,791,332528,-1.3124199495203015,98.6875800504797,10324464.0,10810783.456355356,9760847.496739114
48,2015-02-18,2435,726258,0.6265303479814717,100.62653034798147,10850129.0,10927059.541758768,11428283.820143946
49,2015-02-19,3963,692014,-2.598040201416744,97.40195979858325,11138607.0,10248785.714854043,8170353.5537206475
50,2015-02-20,9798,251872,0.3794562575590198,100.37945625755901,12085536.0,11377039.95893547,11680604.964982685
51,2015-02-21,6936,279962,0.2214997297356317,100.22149972973563,11527181.0,11703818.394643918,11881018.178432424
52,2015-02-22,5427,743465,0.5483179248921052,100.5483179248921,11457132.5,11352763.266019529,11791417.605933214
53,2015-02-23,1286,707023,0.27291505767079427,100.2729150576708,10610711.5,10444407.54510086,10662739.591237497
54,2015-02-24,1405,678262,-2.5496059957251798,97.45039400427483,10620131.0,10827261.999400282,8787577.202820139
55,2015-02-25,5412,746365,-0.42049506845955237,99.57950493154044,11455582.5,12314674.450114785,11978278.395347143
56,2015-02-26,6670,722996,-0.24846018735319422,99.75153981264681,11695498.0,12323563.867770154,12124795.717887599
57,2015-02-27,1109,661321,0.8113194624151723,100.81131946241517,10552460.5,10709682.484863443,11358738.054795582
58,2015-02-28,5619,482891,-0.09865719547259176,99.9013428045274,11365245.5,12002689.176886734,11923763.42050866
59,2015-03-01,7208,320243,-1.675073013702049,98.32492698629795,11601721.5,10759942.427366573,9419884.016404934
60,2015-03-02,2942,700115,2.125296718147303,102.1252967181473,10938457.5,8991134.589913718,10691371.964431562
61,2015-03-03,2261,570205,1.7751924421005392,101.77519244210053,10737302.5,10261897.432798024,11682051.386478456
62,2015-03-04,7963,547994,0.6277487666372198,100.62774876663723,11866597.0,11875040.932903167,12377239.946212944
63,2015-03-05,3882,517396,0.5172911834217504,100.51729118342175,11035098.0,10845072.283285055,11258905.230022456
64,2015-03-06,2609,620195,-1.2888609451804647,98.71113905481954,10831897.5,10749610.592210943,9718521.836066572
65,2015-03-07,8848,287252,-0.9384413562543026,99.0615586437457,11913226.0,11414745.01718999,10663991.93218655
66,2015-03-08,8464,296902,0.7270603098971593,100.72706030989715,11841251.0,10525220.650467252,11106868.898384979
67,2015-03-09,1132,328468,-0.17293397103321034,99.82706602896678,10390634.0,10753656.1974872,10615309.020660631
68,2015-03-10,8767,599876,1.8347002197077833,101.83470021970778,12053338.0,12203201.720599096,13670961.896365322
69,2015-03-11,3453,596465,-2.176188784676827,97.82381121532318,10988832.5,11617858.213139819,9876907.185398357
70,2015-03-12,6556,546589,-0.4968781123980763,99.50312188760192,11584494.5,11514989.164976511,11117486.67505805
71,2015-03-13,7611,715826,-0.1125878457378234,99.88741215426218,11880113.0,12628071.842096163,12538001.565505905
72,2015-03-14,6643,631426,2.6342229519527107,102.63422295195271,11644313.0,11345050.94752373,13452429.309085898
73,2015-03-15,1953,413445,0.5998821781202902,100.5998821781203,10597322.5,11883675.89947753,12363581.641973762
74,2015-03-16,5896,477247,0.9509952096557853,100.95099520965579,11417823.5,11704778.86838357,12465575.036108198
75,2015-03-17,2752,711115,0.021734765567744927,100.02173476556774,10905957.5,10647282.8435793,10664670.656033495
76,2015-03-18,7987,499097,-0.07022441911386819,99.92977558088613,11846948.5,12526736.066366458,12470556.531075364
77,2015-03-19,7753,398015,0.20680787371838738,100.20680787371839,11749607.5,10758374.749424448,10923821.048399158
78,2015-03-20,8556,416069,-0.17324631246684413,99.82675368753316,11919234.5,11699339.186705142,11560742.136731667
79,2015-03-21,2303,578300,1.6041834492121427,101.60418344921214,10749750.0,10095382.843914613,11378729.603284327
80,2015-03-22,3865,317661,0.22314570034203157,100.22314570034203,10931830.5,10573168.532444239,10751685.092717864
81,2015-03-23,4820,283776,-0.37994721195563813,99.62005278804436,11105888.0,11229242.900698427,10925285.131133916
82,2015-03-24,5400,313442,0.33718618476663403,100.33718618476664,11236721.0,11561930.72600692,11831679.673820227
83,2015-03-25,4260,512649,2.224699255581454,102.22469925558146,11108324.5,11522638.089288132,13302397.493753295
84,2015-03-26,4699,417050,-0.6833043101297762,99.31669568987023,11148325.0,11098633.211864153,10551989.763760332
85,2015-03-27,9490,705498,0.7314560786532821,100.73145607865328,12250749.0,11656474.739484774,12241639.6024074
86,2015-03-28,2006,701740,0.35190424233277096,100.35190424233276,10752070.0,10743561.520466607,11025084.914332824
87,2015-03-29,791,708978,1.5423795320955322,101.54237953209554,10512689.0,10465420.497418802,11699324.123095227
88,2015-03-30,7592,349292,1.2831142297855964,101.2831142297856,11693046.0,11231187.887318483,12257679.27114696
89,2015-03-31,6616,421608,0.3054580021768762,100.30545800217688,11534004.0,10356002.537065476,10600368.938806977
90,2015-04-01,5857,303107,-0.08929351769729857,99.9107064823027,11322953.5,11798861.910180822,11727427.096022984
91,2015-04-02,3272,439370,-0.8897959488314554,99.11020405116855,10874085.0,11153837.189004889,10442000.429939725
92,2015-04-03,457,437569,-0.4686837140775097,99.53131628592249,10310184.5,10963159.834036462,10588212.862774454
93,2015-04-04,7611,354973,-0.5757994482466438,99.42420055175336,11699686.5,11305739.416756684,10845099.858159369
94,2015-04-05,687,364428,-0.3629286824919667,99.63707131750803,10319614.0,10664366.426837476,10374023.480843903
95,2015-04-06,4293,741974,0.002614117800839344,100.00261411780085,11229587.0,11172636.929641578,11174728.22388225
96,2015-04-07,8604,276149,0.9347122436547944,100.9347122436548,11858874.5,11978472.944302855,12726242.739226691
97,2015-04-08,8661,280121,0.7773225971208001,100.7773225971208,11872260.5,12482005.254489494,13103863.332186135
98,2015-04-09,4714,499007,-0.1495325649068316,99.85046743509317,11192303.5,10177109.615511905,10057483.56358644
99,2015-04-10,4504,377154,0.6316937548135328,100.63169375481354,11089377.0,11610801.823923152,12116156.827773979
100,2015-04-11,1110,480580,-0.49399297279955784,99.50600702720044,10462290.0,10493753.038993724,10098558.660754077
101,2015-04-12,6424,309879,1.6272865384260125,101.627286538426,11439739.5,10931217.579117833,12233046.809858643
102,2015-04-13,732,594578,0.01600589720907332,100.01600589720907,10443689.0,9369162.141789623,9381966.859556882
103,2015-04-14,7249,749279,0.32986557199285527,100.32986557199285,11824439.5,11702287.212329552,11966179.669923836
104,2015-04-15,3890,443240,0.0012881638741822025,100.00128816387418,10999620.0,11227422.60986462,11228453.140963966
105,2015-04-16,9055,612127,0.8028583843538979,100.8028583843539,12117063.5,12143460.93251387,12785747.639996989
106,2015-04-17,6747,337929,-0.7287282663741304,99.27127173362587,11518364.5,12254136.845939144,11671154.23283984
107,2015-04-18,6804,268655,1.3605335208108544,101.36053352081086,11495127.5,11618538.037785795,12706964.854434479
108,2015-04-19,6149,336498,-1.3331490245533444,98.66685097544665,11398049.0,12518623.853448177,11452104.633805502
109,2015-04-20,2064,599110,-1.0644309750083871,98.93556902499161,10712355.0,11171940.345415054,10320395.565408343
110,2015-04-21,4451,662849,-1.0044979837974186,98.99550201620258,11221624.5,11606573.437214378,10802975.050176444
111,2015-04-22,6444,703922,-0.5770689503956362,99.42293104960436,11640761.0,11161007.705050943,10699352.544734435
112,2015-04-23,5143,664189,-1.2117569458006592,98.78824305419934,11360694.5,10859555.00410376,9890149.447463231
113,2015-04-24,3883,272195,0.16712326282257706,100.16712326282257,10912697.5,10637931.007418852,10771629.617676914
114,2015-04-25,591,717103,-0.3216365205574357,99.67836347944257,10476751.5,11130000.809840146,10872691.593394198
115,2015-04-26,6019,267111,0.6687613587112546,100.66876135871125,11337355.5,11136859.609624805,11671868.696593808
116,2015-04-27,5345,353433,-0.32772693924269664,99.6722730607573,11245716.5,11151381.723282654,10889200.171888497
117,2015-04-28,2094,626231,0.20217318430954034,100.20217318430954,10731915.5,10671344.574000873,10833083.121448506
118,2015-04-29,3962,546469,-0.772704453270401,99.2272955467296,11065634.5,11371623.411014698,10753459.848398378
119,2015-04-30,753,598531,2.1618399170164837,102.16183991701648,10449865.5,11861242.969540164,13590714.90315335
120,2015-05-01,5043,642612,-2.6357806031434934,97.36421939685651,11329906.0,11361445.453091582,9252820.970576787
121,2015-05-02,3862,486135,-0.7090888559050105,99.29091114409499,11015467.5,11143482.721913628,10576211.63718962
122,2015-05-03,3434,695861,0.6340892467267925,100.63408924672679,11034730.5,10416113.436416455,10923384.833797889
