date,tv,fb,context_0_center,context_100_center,fb_contribution,tv_contribution,bookings_noiseless,bookings_noisy,bookings_noisy_context
2015-01-01,3392,4783,-1.0122280739854423,98.98777192601456,994832,678400,11673232,11345096.39826329,10535313.939074937
2015-01-02,2303,4496,1.927733458474173,101.92773345847418,974975,460600,11435575,9941348.786275953,11483535.553055292
2015-01-03,7985,3343,1.525495588446163,101.52549558844616,884837,1597000,12481837,12722941.637098296,13943338.107855227
2015-01-04,2064,3772,0.4934783425910205,100.49347834259102,920599,412800,11333399,11493987.581944508,11888770.256017325
2015-01-05,8499,5282,0.3190385018826013,100.3190385018826,1027456,1699800,12727256,13324576.819410378,13579807.62091646
2015-01-06,8849,2537,0.9914169764810393,100.99141697648103,807825,1769800,12577625,12888342.981828138,13681476.563012969
2015-01-07,5307,4321,-1.3378304500425058,98.6621695499575,962428,1061400,12023828,11761602.249723732,10691337.889689729
2015-01-08,9070,5515,-0.2902275784722319,99.70977242152777,1041954,1814000,12855954,12449261.125282645,12217079.06250486
2015-01-09,5534,7484,-1.298160781843847,98.70183921815615,1150027,1106800,12256827,13142569.354390025,12104040.728914948
2015-01-10,6999,4759,-0.45843263047056787,99.54156736952943,993204,1399800,12393004,12014859.74578901,11648113.641412556
2015-01-11,379,4668,-0.7655150160134995,99.2344849839865,986978,75800,11062778,10044882.460209401,9432470.447398601
2015-01-12,9305,5995,0.13487313040757837,100.13487313040758,1070519,1861000,12931519,13634640.76783361,13742539.272159671
2015-01-13,9583,7146,0.23160806164952968,100.23160806164952,1133024,1916600,13049624,13941368.630473694,14126655.079793317
2015-01-14,9035,3852,-0.8685277060680173,99.13147229393198,926949,1807000,12733949,11924302.92952241,11229480.764667995
2015-01-15,706,4627,-1.2226167146586178,98.77738328534139,984145,141200,11125345,10590316.292328328,9612222.920601433
2015-01-16,132,7397,-0.3588865336297467,99.64111346637026,1145702,26400,11172102,11448904.549715193,11161795.322811395
2015-01-17,6948,3958,2.600544223962394,102.60054422396239,935221,1389600,12324821,12560038.017062701,14640473.396232616
2015-01-18,9077,4729,1.980009237562422,101.98000923756243,991161,1815400,12806561,12757861.839048516,14341869.229098454
2015-01-19,7884,7332,-0.4417507599228953,99.5582492400771,1142448,1576800,12719248,12996439.968930027,12643039.36099171
2015-01-20,5884,6535,1.3427832193306726,101.34278321933067,1100802,1176800,12277602,13020045.373601142,14094271.94906568
2015-01-21,8224,7256,-0.36591523568928624,99.63408476431071,1138618,1644800,12783418,13005994.761186056,12713262.572634626
2015-01-22,4810,3398,-0.0012667402269397358,99.99873325977306,889595,962000,11851595,11786747.419833357,11785734.027651805
2015-01-23,8508,3365,0.8032613477040916,100.8032613477041,886746,1701600,12588346,12606721.393125711,13249330.471288985
2015-01-24,4976,4599,0.009317317812773306,100.00931731781277,982201,995200,11977401,11924803.954583611,11932257.80883383
2015-01-25,2121,5549,-1.700496375433366,98.29950362456664,1044033,424200,11468233,11951283.66266355,10590886.562316857
2015-01-26,4020,3108,0.870343572644284,100.87034357264429,863866,804000,11667866,11393893.275820574,12090168.133936001
2015-01-27,8132,3622,-0.08222508429871532,99.91777491570129,908434,1626400,12534834,12769840.476726122,12704060.40928715
2015-01-28,5496,4372,1.2232157345136945,101.2232157345137,966121,1099200,12065321,11532541.065598598,12511113.653209554
2015-01-29,8327,4445,-0.3069158790157492,99.69308412098425,971354,1665400,12636754,12342637.21675354,12097104.51354094
2015-01-30,4925,4778,-0.29149252251086955,99.70850747748914,994493,985000,11979493,11648246.903391074,11415052.885382378
2015-01-31,8276,7345,0.43994668812410687,100.43994668812411,1143101,1655200,12798301,12981552.183475804,13333509.533975089
2015-02-01,181,4221,-0.5530653785137551,99.44693462148625,955098,36200,10991298,11869389.628722524,11426937.32591152
2015-02-02,1952,6015,1.691375126126545,101.69137512612654,1071674,390400,11462074,10531892.726732343,11884992.82763358
2015-02-03,2539,7207,0.7991553329206201,100.79915533292062,1136134,507800,11643934,10130150.856525641,10769475.122862138
2015-02-04,4592,3217,-0.5668117204125227,99.43318827958748,873726,918400,11792126,11992428.393995404,11538979.017665386
2015-02-05,4214,5582,2.1350298122223244,102.13502981222233,1046043,842800,11888843,11588759.088134406,13296782.937912265
2015-02-06,8885,4055,-0.13080051706554138,99.86919948293446,942657,1777000,12719657,11606154.333232412,11501513.919579979
2015-02-07,5653,6984,-1.3393649649990444,98.66063503500095,1124675,1130600,12255275,12808626.447798004,11737134.475798769
2015-02-08,232,7240,0.5638433712585185,100.56384337125851,1137808,46400,11184208,11558597.35386355,12009672.050870365
2015-02-09,8010,4901,0.7446738457918565,100.74467384579185,1002754,1602000,12604754,12917306.298298975,13513045.37493246
2015-02-10,3867,4177,0.8038995527409679,100.80389955274097,951834,773400,11725234,11375040.151824651,12018159.794017425
2015-02-11,2746,7094,-1.1374982550021946,98.8625017449978,1130359,549200,11679559,13299472.65278257,12389474.048780816
2015-02-12,8822,4863,-0.7400304757063199,99.25996952429368,1000218,1764400,12764618,12851301.887732986,12259277.50716793
2015-02-13,7074,5837,-2.108700163349091,97.89129983665092,1061299,1414800,12476099,12602026.15090842,10915066.020229148
2015-02-14,3178,3059,-0.2493712393524241,99.75062876064757,859355,635600,11494955,12291113.23172955,12091616.240247611
2015-02-15,52,4729,-0.0931139390297476,99.90688606097025,991161,10400,11001561,10572412.82022767,10497921.669003872
2015-02-16,1170,3120,-1.4819448636162766,98.51805513638372,864963,234000,11098963,11014853.902199928,9829298.011306906
2015-02-17,791,4625,1.5934490384060989,101.59344903840609,984007,158200,11142207,10893700.215738436,12168459.446463315
2015-02-18,2435,3508,0.1466362359585903,100.1466362359586,898952,487000,11385952,10961085.250674786,11078394.239441657
2015-02-19,3963,3005,0.6404739330265056,100.6404739330265,854324,792600,11646924,12000151.110404273,12512530.256825479
2015-02-20,9798,5710,0.7443147590654041,100.7443147590654,1053760,1959600,13013360,12449273.122726439,13044724.929978762
2015-02-21,6936,7438,0.4123420625185545,100.41234206251855,1147745,1387200,12534945,12397886.553707046,12727760.20372189
2015-02-22,5427,3680,-0.8175956813969949,99.182404318603,913179,1085400,11998579,12249606.774567936,11595530.22945034
2015-02-23,1286,2726,1.1319343676958515,101.13193436769585,827272,257200,11084472,10884216.547801606,11789764.041958287
2015-02-24,1405,3488,-0.25530437626457825,99.74469562373542,897266,281000,11178266,11137468.962529255,10933225.461517593
2015-02-25,5412,6455,-0.8183739306237616,99.18162606937624,1096429,1082400,12178829,12292814.140624903,11638114.996125894
2015-02-26,6670,3454,-1.0102481239115095,98.98975187608849,894384,1334000,12228384,11808362.76931132,11000164.270182112
2015-02-27,1109,2954,-0.2663260733938481,99.73367392660616,849514,221800,11071314,11286485.259075614,11073424.400360536
2015-02-28,5619,4073,-0.6546059469813768,99.34539405301862,944023,1123800,12067823,11403663.276547173,10879978.518962072
2015-03-01,7208,5747,-2.8200237094372467,97.17997629056275,1055969,1441600,12497569,12692910.224995758,10436891.257445961
2015-03-02,2942,6774,1.0142040398146748,101.01420403981467,1113648,588400,11702048,10929041.675067993,11740404.906919733
2015-03-03,2261,3704,1.3335206523562024,101.3335206523562,915127,452200,11367327,10824491.566077255,11891308.087962218
2015-03-04,7963,5035,-0.799126751198079,99.20087324880193,1011590,1592600,12604190,12523380.86008547,11884079.459127007
2015-03-05,3882,3014,1.4051311595069351,101.40513115950694,855167,776400,11631567,11397426.606865674,12521531.534471223
2015-03-06,2609,7324,-0.3222316843402845,99.67776831565972,1142047,521800,11663847,11090862.240436332,10833076.892964104
2015-03-07,8848,4179,-0.18209544924112303,99.81790455075888,951983,1769600,12721583,12374885.95698056,12229209.597587662
2015-03-08,8464,4771,-0.13388239409871724,99.86611760590128,994018,1692800,12686818,13182812.655475888,13075706.740196915
2015-03-09,1132,7078,-0.7827384370563736,99.21726156294362,1129536,226400,11355936,11192934.99918933,10566744.249544231
2015-03-10,8767,5749,-0.5955923615998644,99.40440763840013,1056088,1753400,12809488,13141708.845893728,12665234.956613837
2015-03-11,3453,5862,0.521938585628024,100.52193858562802,1062770,690600,11753370,11245672.20324362,11663223.07174604
2015-03-12,6556,7089,0.7770132031970106,100.77701320319701,1130102,1311200,12441302,12534381.985354124,13155992.547911732
2015-03-13,7611,2659,-1.7697803792757993,98.2302196207242,820489,1522200,12342689,13084852.003047394,11669027.699626755
2015-03-14,6643,3227,-0.608777023567891,99.3912229764321,874619,1328600,12203219,12734107.701002449,12247086.082148137
2015-03-15,1953,4057,0.7580775706907348,100.75807757069073,942809,390600,11333409,11366618.614978138,11973080.671530725
2015-03-16,5896,6967,-0.3606600147289208,99.63933998527108,1123791,1179200,12302991,12613026.129197607,12324498.11741447
2015-03-17,2752,5993,0.9543823249775235,100.95438232497753,1070404,550400,11620804,11439294.53928511,12202800.39926713
2015-03-18,7987,5011,-2.443847392254535,97.55615260774546,1010020,1597400,12607420,12894722.467892008,10939644.55408838
2015-03-19,7753,7485,0.22744459384833593,100.22744459384833,1150076,1550600,12700676,13152855.821019461,13334811.496098131
2015-03-20,8556,5264,0.04450142403479766,100.04450142403479,1026318,1711200,12737518,11857547.157290118,11893148.296517955
2015-03-21,2303,5171,-0.03808637808176387,99.96191362191824,1020392,460600,11480992,10724379.262669409,10693910.160203997
2015-03-22,3865,2594,0.6537130035006087,100.65371300350061,813793,773000,11586793,11809663.100798363,12332633.50359885
2015-03-23,4820,4320,-0.25147450790821246,99.74852549209179,962355,964000,11926355,13068956.635523755,12867777.029197184
2015-03-24,5400,4575,0.9678712922763435,100.96787129227634,980527,1080000,12060527,12081989.68501288,12856286.718833955
2015-03-25,4260,6806,-1.5923337882787152,98.40766621172128,1115343,852000,11967343,11763596.983289571,10489729.9526666
2015-03-26,4699,5584,0.4718355379443439,100.47183553794434,1046164,939800,11985964,12577988.07529468,12955456.505650155
