date,tv,fb,context_0_center,context_100_center,fb_contribution,tv_contribution_carry,tv_contribution,bookings_noiseless,bookings_noisy,bookings_noisy_context
2015-01-01,3392,4783,-1.0122280739854423,98.98777192601456,994832,,,,,
2015-01-02,2303,4496,1.927733458474173,101.92773345847418,974975,,,,,
2015-01-03,7985,3343,1.525495588446163,101.52549558844616,884837,,,,,
2015-01-04,2064,3772,0.4934783425910205,100.49347834259102,920599,,,,,
2015-01-05,8499,5282,0.3190385018826013,100.3190385018826,1027456,,,,,
2015-01-06,8849,2537,0.9914169764810393,100.99141697648103,807825,,,,,
2015-01-07,5307,4321,-1.3378304500425058,98.6621695499575,962428,,,,,
2015-01-08,9070,5515,-0.2902275784722319,99.70977242152777,1041954,,,,,
2015-01-09,5534,7484,-1.298160781843847,98.70183921815615,1150027,,,,,
2015-01-10,6999,4759,-0.45843263047056787,99.54156736952943,993204,,,,,
2015-01-11,379,4668,-0.7655150160134995,99.2344849839865,986978,1058939.0,1075994.0,12062972.0,11045076.460209401,10432664.447398601
2015-01-12,9305,5995,0.13487313040757837,100.13487313040758,1070519,847684.0,1266409.0,12336928.0,13040049.76783361,13147948.272159671
2015-01-13,9583,7146,0.23160806164952968,100.23160806164952,1133024,1004225.0,1435460.0,12568484.0,13460228.630473694,13645515.079793317
2015-01-14,9035,3852,-0.8685277060680173,99.13147229393198,926949,1117502.0,1524077.0,12451026.0,11641379.92952241,10946557.764667995
2015-01-15,706,4627,-1.2226167146586178,98.77738328534139,984145,1211283.0,1243053.0,12227198.0,11692169.292328328,10714075.920601433
2015-01-16,132,7397,-0.3588865336297467,99.64111346637026,1145702,961590.0,967530.0,12113232.0,12390034.549715193,12102925.322811395
2015-01-17,6948,3958,2.600544223962394,102.60054422396239,935221,739818.0,1052478.0,11987699.0,12222916.017062701,14303351.396232616
2015-01-18,9077,4729,1.980009237562422,101.98000923756243,991161,821469.0,1229934.0,12221095.0,12172395.839048516,13756403.229098454
2015-01-19,7884,7332,-0.4417507599228953,99.5582492400771,1142448,948887.0,1303667.0,12446115.0,12723306.968930027,12369906.36099171
2015-01-20,5884,6535,1.3427832193306726,101.34278321933067,1100802,1021542.0,1286322.0,12387124.0,13129567.373601142,14203793.94906568
2015-01-21,8224,7256,-0.36591523568928624,99.63408476431071,1138618,1002003.0,1372083.0,12510701.0,12733277.761186056,12440545.572634626
2015-01-22,4810,3398,-0.0012667402269397358,99.99873325977306,889595,1096202.0,1312652.0,12202247.0,12137399.419833357,12136386.027651805
2015-01-23,8508,3365,0.8032613477040916,100.8032613477041,886746,1014153.0,1397013.0,12283759.0,12302134.393125711,12944743.471288985
2015-01-24,4976,4599,0.009317317812773306,100.00931731781277,982201,1080568.0,1304488.0,12286689.0,12234091.954583611,12241545.80883383
2015-01-25,2121,5549,-1.700496375433366,98.29950362456664,1044033,1008666.0,1104111.0,12148144.0,12631194.66266355,11270797.562316857
2015-01-26,4020,3108,0.870343572644284,100.87034357264429,863866,880559.0,1061459.0,11925325.0,11651352.275820574,12347627.133936001
2015-01-27,8132,3622,-0.08222508429871532,99.91777491570129,908434,848657.0,1214597.0,12123031.0,12358037.476726122,12292257.40928715
2015-01-28,5496,4372,1.2232157345136945,101.2232157345137,966121,944821.0,1192141.0,12158262.0,11625482.065598598,12604054.653209554
2015-01-29,8327,4445,-0.3069158790157492,99.69308412098425,971354,918626.0,1293341.0,12264695.0,11970578.21675354,11725045.51354094
2015-01-30,4925,4778,-0.29149252251086955,99.70850747748914,994493,1004197.0,1225822.0,12220315.0,11889068.903391074,11655874.885382378
2015-01-31,8276,7345,0.43994668812410687,100.43994668812411,1143101,957913.0,1330333.0,12473434.0,12656685.183475804,13008642.533975089
2015-02-01,181,4221,-0.5530653785137551,99.44693462148625,955098,1032477.0,1040622.0,11995720.0,12873811.628722524,12431359.32591152
2015-02-02,1952,6015,1.691375126126545,101.69137512612654,1071674,813905.0,901745.0,11973419.0,11043237.726732343,12396337.82763358
2015-02-03,2539,7207,0.7991553329206201,100.79915533292062,1136134,688508.0,802763.0,11938897.0,10425113.856525641,11064438.122862138
2015-02-04,4592,3217,-0.5668117204125227,99.43318827958748,873726,622976.0,829616.0,11703342.0,11903644.393995404,11450195.017665386
2015-02-05,4214,5582,2.1350298122223244,102.13502981222233,1046043,655494.0,845124.0,11891167.0,11591083.088134406,13299106.937912265
2015-02-06,8885,4055,-0.13080051706554138,99.86919948293446,942657,660560.0,1060385.0,12003042.0,10889539.333232412,10784898.919579979
2015-02-07,5653,6984,-1.3393649649990444,98.66063503500095,1124675,816874.0,1071259.0,12195934.0,12749285.447798004,11677793.475798769
2015-02-08,232,7240,0.5638433712585185,100.56384337125851,1137808,835763.0,846203.0,11984011.0,12358400.35386355,12809475.050870365
2015-02-09,8010,4901,0.7446738457918565,100.74467384579185,1002754,644774.0,1005224.0,12007978.0,12320530.298298975,12916269.37493246
2015-02-10,3867,4177,0.8038995527409679,100.80389955274097,951834,785142.0,959157.0,11910991.0,11560797.151824651,12203916.794017425
2015-02-11,2746,7094,-1.1374982550021946,98.8625017449978,1130359,735335.0,858905.0,11989264.0,13609177.65278257,12699179.048780816
2015-02-12,8822,4863,-0.7400304757063199,99.25996952429368,1000218,686424.0,1083414.0,12083632.0,12170315.887732986,11578291.50716793
2015-02-13,7074,5837,-2.108700163349091,97.89129983665092,1061299,859186.0,1177516.0,12238815.0,12364742.15090842,10677782.020229148
2015-02-14,3178,3059,-0.2493712393524241,99.75062876064757,859355,932198.0,1075208.0,11934563.0,12730721.23172955,12531224.240247611
2015-02-15,52,4729,-0.0931139390297476,99.90688606097025,991161,842417.0,844757.0,11835918.0,11406769.82022767,11332278.669003872
2015-02-16,1170,3120,-1.4819448636162766,98.51805513638372,864963,659516.0,712166.0,11577129.0,11493019.902199928,10307464.011306906
2015-02-17,791,4625,1.5934490384060989,101.59344903840609,984007,535388.0,570983.0,11554990.0,11306483.215738436,12581242.446463315
2015-02-18,2435,3508,0.1466362359585903,100.1466362359586,898952,434935.0,544510.0,11443462.0,11018595.250674786,11135904.239441657
2015-02-19,3963,3005,0.6404739330265056,100.6404739330265,854324,434711.0,613046.0,11467370.0,11820597.110404273,12332976.256825479
2015-02-20,9798,5710,0.7443147590654041,100.7443147590654,1053760,459475.0,900385.0,11954145.0,11390058.122726439,11985509.929978762
2015-02-21,6936,7438,0.4123420625185545,100.41234206251855,1147745,705360.0,1017480.0,12165225.0,12028166.553707046,12358040.20372189
2015-02-22,5427,3680,-0.8175956813969949,99.182404318603,913179,803369.0,1047584.0,11960763.0,12211790.774567936,11557714.22945034
2015-02-23,1286,2726,1.1319343676958515,101.13193436769585,827272,803966.0,861836.0,11689108.0,11488852.547801606,12394400.041958287
2015-02-24,1405,3488,-0.25530437626457825,99.74469562373542,897266,662125.0,725350.0,11622616.0,11581818.962529255,11377575.461517593
2015-02-25,5412,6455,-0.8183739306237616,99.18162606937624,1096429,567995.0,811535.0,11907964.0,12021949.140624903,11367249.996125894
2015-02-26,6670,3454,-1.0102481239115095,98.98975187608849,894384,649027.0,949177.0,11843561.0,11423539.76931132,10615341.270182112
2015-02-27,1109,2954,-0.2663260733938481,99.73367392660616,849514,754819.0,804724.0,11654238.0,11869409.259075614,11656348.400360536
2015-02-28,5619,4073,-0.6546059469813768,99.34539405301862,944023,640722.0,893577.0,11837600.0,11173440.276547173,10649755.518962072
2015-03-01,7208,5747,-2.8200237094372467,97.17997629056275,1055969,705449.0,1029809.0,12085778.0,12281119.224995758,10025100.257445961
2015-03-02,2942,6774,1.0142040398146748,101.01420403981467,1113648,808528.0,940918.0,12054566.0,11281559.675067993,12092922.906919733
2015-03-03,2261,3704,1.3335206523562024,101.3335206523562,915127,714861.0,816606.0,11731733.0,11188897.566077255,12255714.087962218
2015-03-04,7963,5035,-0.799126751198079,99.20087324880193,1011590,626474.0,984809.0,11996399.0,11915589.86008547,11276288.459127007
2015-03-05,3882,3014,1.4051311595069351,101.40513115950694,855167,766869.0,941559.0,11796726.0,11562585.606865674,12686690.534471223
2015-03-06,2609,7324,-0.3222316843402845,99.67776831565972,1142047,748276.0,865681.0,12007728.0,11434743.240436332,11176957.892964104
2015-03-07,8848,4179,-0.18209544924112303,99.81790455075888,951983,687114.0,1085274.0,12037257.0,11690559.95698056,11544883.597587662
2015-03-08,8464,4771,-0.13388239409871724,99.86611760590128,994018,847299.0,1228179.0,12222197.0,12718191.655475888,12611085.740196915
2015-03-09,1132,7078,-0.7827384370563736,99.21726156294362,1129536,956761.0,1007701.0,12137237.0,11974235.99918933,11348045.249544231
2015-03-10,8767,5749,-0.5955923615998644,99.40440763840013,1056088,801874.0,1196389.0,12252477.0,12584697.845893728,12108223.956613837
2015-03-11,3453,5862,0.521938585628024,100.52193858562802,1062770,935391.0,1090776.0,12153546.0,11645848.20324362,12063399.07174604
2015-03-12,6556,7089,0.7770132031970106,100.77701320319701,1130102,844758.0,1139778.0,12269880.0,12362959.985354124,12984570.547911732
2015-03-13,7611,2659,-1.7697803792757993,98.2302196207242,820489,900451.0,1242946.0,12063435.0,12805598.003047394,11389773.699626755
2015-03-14,6643,3227,-0.608777023567891,99.3912229764321,874619,985617.0,1284552.0,12159171.0,12690059.701002449,12203038.082148137
2015-03-15,1953,4057,0.7580775706907348,100.75807757069073,942809,996861.0,1084746.0,12027555.0,12060764.614978138,12667226.671530725
2015-03-16,5896,6967,-0.3606600147289208,99.63933998527108,1123791,852791.0,1118111.0,12241902.0,12551937.129197607,12263409.11741447
2015-03-17,2752,5993,0.9543823249775235,100.95438232497753,1070404,884404.0,1008244.0,12078648.0,11897138.53928511,12660644.39926713
2015-03-18,7987,5011,-2.443847392254535,97.55615260774546,1010020,772393.0,1131808.0,12141828.0,12429130.467892008,10474052.55408838
2015-03-19,7753,7485,0.22744459384833593,100.22744459384833,1150076,872729.0,1221614.0,12371690.0,12823869.821019461,13005825.496098131
2015-03-20,8556,5264,0.04450142403479766,100.04450142403479,1026318,972916.0,1357936.0,12384254.0,11504283.157290118,11539884.296517955
2015-03-21,2303,5171,-0.03808637808176387,99.96191362191824,1020392,1052460.0,1156095.0,12176487.0,11419874.262669409,11389405.160203997
2015-03-22,3865,2594,0.6537130035006087,100.65371300350061,813793,911528.0,1085453.0,11899246.0,12122116.100798363,12645086.50359885
2015-03-23,4820,4320,-0.25147450790821246,99.74852549209179,962355,843021.0,1059921.0,12022276.0,13164877.635523755,12963698.029197184
2015-03-24,5400,4575,0.9678712922763435,100.96787129227634,980527,818517.0,1061517.0,12042044.0,12063506.68501288,12837803.718833955
2015-03-25,4260,6806,-1.5923337882787152,98.40766621172128,1115343,823535.0,1015235.0,12130578.0,11926831.983289571,10652964.9526666
2015-03-26,4699,5584,0.4718355379443439,100.47183553794434,1046164,804639.0,1016094.0,12062258.0,12654282.07529468,13031750.505650155
2015-03-27,9490,4693,-0.6494590172043749,99.35054098279562,988697,790084.0,1217134.0,12205831.0,13003953.217088424,12484386.003324924
2015-03-28,2006,2889,0.8610469605412914,100.86104696054129,843299,963070.0,1053340.0,11896639.0,12318840.701834302,13007678.270267336
2015-03-29,791,2708,-0.5250886549051802,99.47491134509482,825461,811798.0,847393.0,11672854.0,11445719.493568404,11025648.56964426
2015-03-30,7592,2980,-0.5783922916770815,99.42160770832292,851973,647945.0,989585.0,11841558.0,11237713.555108458,10774999.721766792
2015-03-31,6616,3750,1.149733090472233,101.14973309047224,918836,758595.0,1056315.0,11975151.0,13347694.922591941,14267481.394969728
2015-04-01,5857,5216,-0.647442769292631,99.35255723070738,1023268,836150.0,1099715.0,12122983.0,12614322.217477819,12096368.002043715
2015-04-02,3272,5725,0.505229162208109,100.50522916220811,1054657,864832.0,1012072.0,12066729.0,12283552.782005703,12687736.11177219
2015-04-03,457,6484,0.894685288935826,100.89468528893583,1098019,791026.0,811591.0,11909610.0,11664991.463078178,12380739.694226839
2015-04-04,7611,3879,1.1235988255377098,101.12359882553771,929071,628399.0,970894.0,11899965.0,12472328.434146736,13371207.494576903
2015-04-05,687,5173,-0.1507808016666688,99.84921919833333,1020520,760249.0,791164.0,11811684.0,11580370.882060086,11459746.240726752
2015-04-06,4293,2531,0.2904022018235407,100.29040220182354,807191,614767.0,807952.0,11615143.0,10924605.945195632,11156927.706654465
2015-04-07,8604,7459,0.8502637803843488,100.85026378038435,1148788,609678.0,996858.0,12145646.0,12507279.332891665,13187490.357199144
2015-04-08,8661,4177,1.4409848132295204,101.44098481322952,951834,789732.0,1179477.0,12131311.0,11472477.48960466,12625265.340188276
2015-04-09,4714,3561,-0.283440153043306,99.7165598469567,903387,940524.0,1152654.0,12056041.0,11568657.332082164,11341905.20964752
2015-04-10,4504,6619,-0.748284201067771,99.25171579893222,1105354,892777.0,1095457.0,12200811.0,12797455.243226858,12198827.88237264
2015-04-11,1110,5463,-0.9255328744213481,99.07446712557865,1038756,850792.0,900742.0,11939498.0,12315832.560099859,11575406.260562781
2015-04-12,6424,5304,1.0029252027954159,101.00292520279541,1028844,697953.0,987033.0,12015877.0,10952834.249158151,11755174.411394484
2015-04-13,732,3760,-0.7550512438959137,99.24494875610408,919638,776979.0,809919.0,11729557.0,11772626.597436495,11168585.602319764
2015-04-14,7249,5462,-0.2517385921379538,99.74826140786205,1038694,646168.0,972373.0,12011067.0,12047582.732247371,11846191.858537009
2015-04-15,3890,6923,1.319388006837984,101.31938800683798,1121496,748479.0,923529.0,12045025.0,12761600.870069986,13817111.275540374
2015-04-16,9055,6438,-1.912546770448255,98.08745322955174,1095495,736167.0,1143642.0,12239137.0,12349738.67572891,10819701.259370305
2015-04-17,6747,4118,0.5609113157722833,100.56091131577229,947420,898319.0,1201934.0,12149354.0,12642414.751653139,13091143.804270966
2015-04-18,6804,3519,0.0557042767348223,100.05570427673483,899876,928289.0,1234469.0,12134345.0,11825259.436603244,11869822.857991103
2015-04-19,6149,6486,-2.146838021274475,97.85316197872552,1098128,954096.0,1230801.0,12328929.0,12137553.197457338,10420082.780437758
2015-04-20,2064,7415,0.24440145538936148,100.24440145538937,1146600,966419.0,1059299.0,12205899.0,12743767.951925516,12939289.116237005
