date,tv,fb,context_0_center,context_100_center,fb_contribution,tv_contribution,bookings_noiseless,bookings_noisy,bookings_noisy_context
2015-01-01,3392,4783,-1.0122280739854423,98.98777192601456,2869800,678400,13548200,13220064.39826329,12410281.939074937
2015-01-02,2303,4496,1.927733458474173,101.92773345847418,2697600,460600,13158200,11663973.786275953,13206160.553055292
2015-01-03,7985,3343,1.525495588446163,101.52549558844616,2005800,1597000,13602800,13843904.637098296,15064301.107855227
2015-01-04,2064,3772,0.4934783425910205,100.49347834259102,2263200,412800,12676000,12836588.581944508,13231371.256017325
2015-01-05,8499,5282,0.3190385018826013,100.3190385018826,3169200,1699800,14869000,15466320.819410378,15721551.62091646
2015-01-06,8849,2537,0.9914169764810393,100.99141697648103,1522200,1769800,13292000,13602717.981828138,14395851.563012969
2015-01-07,5307,4321,-1.3378304500425058,98.6621695499575,2592600,1061400,13654000,13391774.249723732,12321509.889689729
2015-01-08,9070,5515,-0.2902275784722319,99.70977242152777,3309000,1814000,15123000,14716307.125282645,14484125.06250486
2015-01-09,5534,7484,-1.298160781843847,98.70183921815615,4490400,1106800,15597200,16482942.354390025,15444413.728914948
2015-01-10,6999,4759,-0.45843263047056787,99.54156736952943,2855400,1399800,14255200,13877055.74578901,13510309.641412556
2015-01-11,379,4668,-0.7655150160134995,99.2344849839865,2800800,75800,12876600,11858704.460209401,11246292.447398601
2015-01-12,9305,5995,0.13487313040757837,100.13487313040758,3597000,1861000,15458000,16161121.76783361,16269020.272159671
2015-01-13,9583,7146,0.23160806164952968,100.23160806164952,4287600,1916600,16204200,17095944.630473696,17281231.07979332
2015-01-14,9035,3852,-0.8685277060680173,99.13147229393198,2311200,1807000,14118200,13308553.92952241,12613731.764667995
2015-01-15,706,4627,-1.2226167146586178,98.77738328534139,2776200,141200,12917400,12382371.292328328,11404277.920601433
2015-01-16,132,7397,-0.3588865336297467,99.64111346637026,4438200,26400,14464600,14741402.549715193,14454293.322811395
2015-01-17,6948,3958,2.600544223962394,102.60054422396239,2374800,1389600,13764400,13999617.017062701,16080052.396232616
2015-01-18,9077,4729,1.980009237562422,101.98000923756243,2837400,1815400,14652800,14604100.839048516,16188108.229098454
2015-01-19,7884,7332,-0.4417507599228953,99.5582492400771,4399200,1576800,15976000,16253191.968930027,15899791.36099171
2015-01-20,5884,6535,1.3427832193306726,101.34278321933067,3921000,1176800,15097800,15840243.373601142,16914469.94906568
2015-01-21,8224,7256,-0.36591523568928624,99.63408476431071,4353600,1644800,15998400,16220976.761186056,15928244.572634626
2015-01-22,4810,3398,-0.0012667402269397358,99.99873325977306,2038800,962000,13000800,12935952.419833357,12934939.027651805
2015-01-23,8508,3365,0.8032613477040916,100.8032613477041,2019000,1701600,13720600,13738975.393125711,14381584.471288985
2015-01-24,4976,4599,0.009317317812773306,100.00931731781277,2759400,995200,13754600,13702002.954583611,13709456.80883383
2015-01-25,2121,5549,-1.700496375433366,98.29950362456664,3329400,424200,13753600,14236650.66266355,12876253.562316857
2015-01-26,4020,3108,0.870343572644284,100.87034357264429,1864800,804000,12668800,12394827.275820574,13091102.133936001
2015-01-27,8132,3622,-0.08222508429871532,99.91777491570129,2173200,1626400,13799600,14034606.476726122,13968826.40928715
2015-01-28,5496,4372,1.2232157345136945,101.2232157345137,2623200,1099200,13722400,13189620.065598598,14168192.653209554
2015-01-29,8327,4445,-0.3069158790157492,99.69308412098425,2667000,1665400,14332400,14038283.21675354,13792750.51354094
2015-01-30,4925,4778,-0.29149252251086955,99.70850747748914,2866800,985000,13851800,13520553.903391074,13287359.885382378
2015-01-31,8276,7345,0.43994668812410687,100.43994668812411,4407000,1655200,16062200,16245451.183475804,16597408.533975089
2015-02-01,181,4221,-0.5530653785137551,99.44693462148625,2532600,36200,12568800,13446891.628722524,13004439.32591152
2015-02-02,1952,6015,1.691375126126545,101.69137512612654,3609000,390400,13999400,13069218.726732343,14422318.82763358
2015-02-03,2539,7207,0.7991553329206201,100.79915533292062,4324200,507800,14832000,13318216.856525641,13957541.122862138
2015-02-04,4592,3217,-0.5668117204125227,99.43318827958748,1930200,918400,12848600,13048902.393995404,12595453.017665386
2015-02-05,4214,5582,2.1350298122223244,102.13502981222233,3349200,842800,14192000,13891916.088134406,15599939.937912265
2015-02-06,8885,4055,-0.13080051706554138,99.86919948293446,2433000,1777000,14210000,13096497.333232412,12991856.919579979
2015-02-07,5653,6984,-1.3393649649990444,98.66063503500095,4190400,1130600,15321000,15874351.447798004,14802859.475798769
2015-02-08,232,7240,0.5638433712585185,100.56384337125851,4344000,46400,14390400,14764789.35386355,15215864.050870365
2015-02-09,8010,4901,0.7446738457918565,100.74467384579185,2940600,1602000,14542600,14855152.298298975,15450891.37493246
2015-02-10,3867,4177,0.8038995527409679,100.80389955274097,2506200,773400,13279600,12929406.151824651,13572525.794017425
2015-02-11,2746,7094,-1.1374982550021946,98.8625017449978,4256400,549200,14805600,16425513.65278257,15515515.048780816
2015-02-12,8822,4863,-0.7400304757063199,99.25996952429368,2917800,1764400,14682200,14768883.887732986,14176859.50716793
2015-02-13,7074,5837,-2.108700163349091,97.89129983665092,3502200,1414800,14917000,15042927.15090842,13355967.020229148
2015-02-14,3178,3059,-0.2493712393524241,99.75062876064757,1835400,635600,12471000,13267158.23172955,13067661.240247611
2015-02-15,52,4729,-0.0931139390297476,99.90688606097025,2837400,10400,12847800,12418651.82022767,12344160.669003872
2015-02-16,1170,3120,-1.4819448636162766,98.51805513638372,1872000,234000,12106000,12021890.902199928,10836335.011306906
2015-02-17,791,4625,1.5934490384060989,101.59344903840609,2775000,158200,12933200,12684693.215738436,13959452.446463315
2015-02-18,2435,3508,0.1466362359585903,100.1466362359586,2104800,487000,12591800,12166933.250674786,12284242.239441657
2015-02-19,3963,3005,0.6404739330265056,100.6404739330265,1803000,792600,12595600,12948827.110404273,13461206.256825479
2015-02-20,9798,5710,0.7443147590654041,100.7443147590654,3426000,1959600,15385600,14821513.122726439,15416964.929978762
2015-02-21,6936,7438,0.4123420625185545,100.41234206251855,4462800,1387200,15850000,15712941.553707046,16042815.20372189
2015-02-22,5427,3680,-0.8175956813969949,99.182404318603,2208000,1085400,13293400,13544427.774567936,12890351.22945034
