date,tv,fb,context_0_center,context_100_center,fb_contribution,tv_contribution,bookings_noiseless,bookings_noisy,bookings_noisy_context
2015-01-01,3392,4783,-1.0122280739854423,98.98777192601456,956600,678400,11635000,11306864.39826329,10497081.939074937
2015-01-02,2303,4496,1.927733458474173,101.92773345847418,899200,460600,11359800,9865573.786275953,11407760.553055292
2015-01-03,7985,3343,1.525495588446163,101.52549558844616,668600,1597000,12265600,12506704.637098296,13727101.107855227
2015-01-04,2064,3772,0.4934783425910205,100.49347834259102,754400,412800,11167200,11327788.581944508,11722571.256017325
2015-01-05,8499,5282,0.3190385018826013,100.3190385018826,1056400,1699800,12756200,13353520.819410378,13608751.62091646
2015-01-06,8849,2537,0.9914169764810393,100.99141697648103,507400,1769800,12277200,12587917.981828138,13381051.563012969
2015-01-07,5307,4321,-1.3378304500425058,98.6621695499575,864200,1061400,11925600,11663374.249723732,10593109.889689729
2015-01-08,9070,5515,-0.2902275784722319,99.70977242152777,1103000,1814000,12917000,12510307.125282645,12278125.06250486
2015-01-09,5534,7484,-1.298160781843847,98.70183921815615,1496800,1106800,12603600,13489342.354390025,12450813.728914948
2015-01-10,6999,4759,-0.45843263047056787,99.54156736952943,951800,1399800,12351600,11973455.74578901,11606709.641412556
2015-01-11,379,4668,-0.7655150160134995,99.2344849839865,933600,75800,11009400,9991504.460209401,9379092.447398601
2015-01-12,9305,5995,0.13487313040757837,100.13487313040758,1199000,1861000,13060000,13763121.76783361,13871020.272159671
2015-01-13,9583,7146,0.23160806164952968,100.23160806164952,1429200,1916600,13345800,14237544.630473694,14422831.079793317
2015-01-14,9035,3852,-0.8685277060680173,99.13147229393198,770400,1807000,12577400,11767753.92952241,11072931.764667995
2015-01-15,706,4627,-1.2226167146586178,98.77738328534139,925400,141200,11066600,10531571.292328328,9553477.920601433
2015-01-16,132,7397,-0.3588865336297467,99.64111346637026,1479400,26400,11505800,11782602.549715193,11495493.322811395
2015-01-17,6948,3958,2.600544223962394,102.60054422396239,791600,1389600,12181200,12416417.017062701,14496852.396232616
2015-01-18,9077,4729,1.980009237562422,101.98000923756243,945800,1815400,12761200,12712500.839048516,14296508.229098454
2015-01-19,7884,7332,-0.4417507599228953,99.5582492400771,1466400,1576800,13043200,13320391.968930027,12966991.36099171
2015-01-20,5884,6535,1.3427832193306726,101.34278321933067,1307000,1176800,12483800,13226243.373601142,14300469.94906568
2015-01-21,8224,7256,-0.36591523568928624,99.63408476431071,1451200,1644800,13096000,13318576.761186056,13025844.572634626
2015-01-22,4810,3398,-0.0012667402269397358,99.99873325977306,679600,962000,11641600,11576752.419833357,11575739.027651805
2015-01-23,8508,3365,0.8032613477040916,100.8032613477041,673000,1701600,12374600,12392975.393125711,13035584.471288985
2015-01-24,4976,4599,0.009317317812773306,100.00931731781277,919800,995200,11915000,11862402.954583611,11869856.80883383
2015-01-25,2121,5549,-1.700496375433366,98.29950362456664,1109800,424200,11534000,12017050.66266355,10656653.562316857
2015-01-26,4020,3108,0.870343572644284,100.87034357264429,621600,804000,11425600,11151627.275820574,11847902.133936001
2015-01-27,8132,3622,-0.08222508429871532,99.91777491570129,724400,1626400,12350800,12585806.476726122,12520026.40928715
2015-01-28,5496,4372,1.2232157345136945,101.2232157345137,874400,1099200,11973600,11440820.065598598,12419392.653209554
2015-01-29,8327,4445,-0.3069158790157492,99.69308412098425,889000,1665400,12554400,12260283.21675354,12014750.51354094
2015-01-30,4925,4778,-0.29149252251086955,99.70850747748914,955600,985000,11940600,11609353.903391074,11376159.885382378
2015-01-31,8276,7345,0.43994668812410687,100.43994668812411,1469000,1655200,13124200,13307451.183475804,13659408.533975089
2015-02-01,181,4221,-0.5530653785137551,99.44693462148625,844200,36200,10880400,11758491.628722524,11316039.32591152
2015-02-02,1952,6015,1.691375126126545,101.69137512612654,1203000,390400,11593400,10663218.726732343,12016318.82763358
2015-02-03,2539,7207,0.7991553329206201,100.79915533292062,1441400,507800,11949200,10435416.856525641,11074741.122862138
2015-02-04,4592,3217,-0.5668117204125227,99.43318827958748,643400,918400,11561800,11762102.393995404,11308653.017665386
2015-02-05,4214,5582,2.1350298122223244,102.13502981222233,1116400,842800,11959200,11659116.088134406,13367139.937912265
2015-02-06,8885,4055,-0.13080051706554138,99.86919948293446,811000,1777000,12588000,11474497.333232412,11369856.919579979
2015-02-07,5653,6984,-1.3393649649990444,98.66063503500095,1396800,1130600,12527400,13080751.447798004,12009259.475798769
2015-02-08,232,7240,0.5638433712585185,100.56384337125851,1448000,46400,11494400,11868789.35386355,12319864.050870365
2015-02-09,8010,4901,0.7446738457918565,100.74467384579185,980200,1602000,12582200,12894752.298298975,13490491.37493246
2015-02-10,3867,4177,0.8038995527409679,100.80389955274097,835400,773400,11608800,11258606.151824651,11901725.794017425
2015-02-11,2746,7094,-1.1374982550021946,98.8625017449978,1418800,549200,11968000,13587913.65278257,12677915.048780816
2015-02-12,8822,4863,-0.7400304757063199,99.25996952429368,972600,1764400,12737000,12823683.887732986,12231659.50716793
2015-02-13,7074,5837,-2.108700163349091,97.89129983665092,1167400,1414800,12582200,12708127.15090842,11021167.020229148
2015-02-14,3178,3059,-0.2493712393524241,99.75062876064757,611800,635600,11247400,12043558.23172955,11844061.240247611
2015-02-15,52,4729,-0.0931139390297476,99.90688606097025,945800,10400,10956200,10527051.82022767,10452560.669003872
2015-02-16,1170,3120,-1.4819448636162766,98.51805513638372,624000,234000,10858000,10773890.902199928,9588335.011306906
2015-02-17,791,4625,1.5934490384060989,101.59344903840609,925000,158200,11083200,10834693.215738436,12109452.446463315
2015-02-18,2435,3508,0.1466362359585903,100.1466362359586,701600,487000,11188600,10763733.250674786,10881042.239441657
