ds,dep_var,trend,tv,fb,intercept,depVarHat,solID
2021-01-11,12044622,19895530.7928167,439835.704362724,187916.977841105,-8542092.45468895,11981191.0203316,1_369_2
2021-01-12,12112910,19895234.1181089,281459.066874047,379883.001824267,-8542092.45468895,12014483.7321183,1_369_2
2021-01-13,11969532,19894937.4434011,184831.517775386,421140.551858376,-8542092.45468895,11958817.0583459,1_369_2
2021-01-14,11796209,19894640.7686932,261896.146012248,331981.062119076,-8542092.45468895,11946425.5221356,1_369_2
2021-01-15,11833576,19894344.0939854,220124.760144102,453599.801721736,-8542092.45468895,12025976.2011623,1_369_2
2021-01-16,12113777,19894047.4192776,488631.469198763,479784.892375394,-8542092.45468895,12320371.3261628,1_369_2
2021-01-17,11904830,19893750.7445698,341459.40153954,376603.413881701,-8542092.45468895,12069721.105302,1_369_2
2021-01-18,11799871,19893454.0698619,204569.981045192,403676.696340692,-8542092.45468895,11959608.2925589,1_369_2
2021-01-19,11587921,19893157.3951541,337396.393852897,197720.694841091,-8542092.45468895,11886182.0291591,1_369_2
2021-01-20,11610872,19892860.7204463,152882.832631032,323311.765679507,-8542092.45468895,11826962.8640679,1_369_2
2021-01-21,11541748,19892564.0457384,292114.575273902,232004.028224999,-8542092.45468895,11874590.1945484,1_369_2
2021-01-22,11613096,19892267.3710306,290525.040014529,311304.316096941,-8542092.45468895,11952004.2724531,1_369_2
2021-01-23,11915932,19891970.6963228,422322.933182581,440724.358897376,-8542092.45468895,12212925.5337138,1_369_2
2021-01-24,11824708,19891674.021615,452993.570211268,231592.96408634,-8542092.45468895,12034168.1012236,1_369_2
2021-01-25,12310367,19891377.3469071,503707.738046412,474965.709342271,-8542092.45468895,12327958.3396069,1_369_2
2021-01-26,12421456,19891080.6721993,499378.142662459,461370.40268763,-8542092.45468895,12309736.7628604,1_369_2
2021-01-27,12325532,19890783.9974915,422186.943030664,428512.400554165,-8542092.45468895,12199390.8863874,1_369_2
2021-01-28,12309899,19890487.3227836,510228.345425188,263237.271145451,-8542092.45468895,12121860.4846653,1_369_2
2021-01-29,12467420,19890190.6480758,462278.151454418,389441.192206678,-8542092.45468895,12199817.537048,1_369_2
2021-01-30,12218519,19889893.973368,361358.259030074,282216.914032084,-8542092.45468895,11991376.6917412,1_369_2
2021-01-31,11881975,19889597.2986602,119781.266797025,204455.827354942,-8542092.45468895,11671741.9381232,1_369_2
2021-02-01,11957736,19889300.6239523,60159.6155943178,454230.860881475,-8542092.45468895,11861598.6457392,1_369_2
2021-02-02,12050643,19889003.9492445,390904.696122522,448898.485604395,-8542092.45468895,12186714.6762825,1_369_2
2021-02-03,11999255,19888707.2745367,326964.662212501,451596.134910822,-8542092.45468895,12125175.6169711,1_369_2
2021-02-04,12240632,19888410.5998288,493839.864227614,474030.001831271,-8542092.45468895,12314188.0111988,1_369_2
2021-02-05,11906274,19888113.925121,368537.866970124,257389.648072605,-8542092.45468895,11971948.9854748,1_369_2
2021-02-06,12106825,19887817.2504132,511793.548178274,238724.618898736,-8542092.45468895,12096242.9628013,1_369_2
2021-02-07,12288063,19887520.5757054,383542.684886917,472515.148078343,-8542092.45468895,12201485.9539817,1_369_2
2021-02-08,11922797,19887223.9009975,386114.377727628,194269.587579758,-8542092.45468895,11925515.411616,1_369_2
2021-02-09,12153946,19886927.2262897,500625.310746207,234354.71083481,-8542092.45468895,12079814.7931818,1_369_2
2021-02-10,12262042,19886630.5515819,349669.399112111,443936.021256496,-8542092.45468895,12138143.5172615,1_369_2
2021-02-11,12250411,19886333.876874,429593.312789357,382746.986904093,-8542092.45468895,12156581.7218786,1_369_2
2021-02-12,11910803,19886037.2021662,229302.029174854,238603.093001372,-8542092.45468895,11811849.8696535,1_369_2
2021-02-13,12266959,19885740.5274584,483230.954994009,393790.489966229,-8542092.45468895,12220669.5177297,1_369_2
2021-02-14,12359180,19885443.8527506,479746.911989058,401777.54333877,-8542092.45468895,12224875.8533894,1_369_2
2021-02-15,11916816,19885147.1780427,177004.28962281,262974.916782371,-8542092.45468895,11783033.929759,1_369_2
2021-02-16,11719503,19884850.5033349,224152.978961376,181947.241362861,-8542092.45468895,11748858.2689702,1_369_2
2021-02-17,11815434,19884553.8286271,147676.350657118,417428.13989763,-8542092.45468895,11907565.8644929,1_369_2
2021-02-18,12070369,19884257.1539193,476324.72153345,428890.558202983,-8542092.45468895,12247379.9789667,1_369_2
2021-02-19,12011310,19883960.4792114,467339.492605708,280946.481287035,-8542092.45468895,12090153.9984152,1_369_2
2021-02-20,11997024,19883663.8045036,371897.680879987,325642.356305763,-8542092.45468895,12039111.3870004,1_369_2
2021-02-21,12037637,19883367.1297958,500738.035537297,181840.472739164,-8542092.45468895,12023853.1833833,1_369_2
2021-02-22,12406604,19883070.4550879,491251.541933537,427485.33085451,-8542092.45468895,12259714.873187,1_369_2
2021-02-23,12225810,19882773.7803801,226187.117888046,472178.852699639,-8542092.45468895,12039047.2962788,1_369_2
2021-02-24,12021637,19882477.1056723,247456.619192501,416696.583720549,-8542092.45468895,12004537.8538964,1_369_2
2021-02-25,11597088,19882180.4309645,133769.482823514,198712.074796456,-8542092.45468895,11672569.5338955,1_369_2
2021-02-26,11913718,19881883.7562566,476779.069981966,241170.832809406,-8542092.45468895,12057741.2043591,1_369_2
2021-02-27,12166275,19881587.0815488,385559.738672552,478593.292761673,-8542092.45468895,12203647.6582941,1_369_2
2021-02-28,12044441,19881290.406841,428570.138188495,311983.33267909,-8542092.45468895,12079751.4230196,1_369_2
2021-03-01,12085080,19880993.7321331,320549.798775306,440915.948694251,-8542092.45468895,12100367.0249138,1_369_2
2021-03-02,11791196,19880697.0574253,242813.805363092,295093.04488976,-8542092.45468895,11876511.4529892,1_369_2
2021-03-03,12016537,19880400.3827175,474711.575613874,306551.34588035,-8542092.45468895,12119570.8495228,1_369_2
2021-03-04,12104459,19880103.7080097,406903.973301565,405187.081593556,-8542092.45468895,12150102.3082158,1_369_2
2021-03-05,12078798,19879807.0333018,342021.982983376,443854.134630015,-8542092.45468895,12123590.6962263,1_369_2
2021-03-06,12326150,19879510.358594,502261.987962935,455984.524842418,-8542092.45468895,12295664.4167104,1_369_2
2021-03-07,12095998,19879213.6838862,471752.275326295,194891.003591234,-8542092.45468895,12003764.5081148,1_369_2
2021-03-08,12447276,19878917.0091783,451669.698504644,460571.15835896,-8542092.45468895,12249065.411353,1_369_2
2021-03-09,12527132,19878620.3344705,483536.642859065,477410.295869849,-8542092.45468895,12297474.8185105,1_369_2
2021-03-10,12475158,19878323.6597627,494428.09572191,368757.122064523,-8542092.45468895,12199416.4228602,1_369_2
2021-03-11,12330908,19878026.9850549,404270.290743311,324280.890799652,-8542092.45468895,12064485.7119089,1_369_2
2021-03-12,12056127,19877730.310347,203642.716525399,285012.322571032,-8542092.45468895,11824292.8947545,1_369_2
2021-03-13,12218414,19877433.6356392,364246.499548293,428448.664623695,-8542092.45468895,12128036.3451223,1_369_2
2021-03-14,12014311,19877136.9609314,440526.721326584,205250.800422575,-8542092.45468895,11980822.0279916,1_369_2
2021-03-15,12278558,19876840.2862236,443411.009317746,400344.873800225,-8542092.45468895,12178503.7146526,1_369_2
